Cluster,Rank,SMILES,Distance
Cluster_1,Centroid,CCCCCC\C=C/C=O,3.4832830864957716
Cluster_1,Top_1,CCCCCC\C=C\C=O,3.5127485165780135
Cluster_1,Top_2,CCCCC\C=C/C=O,4.704524734062441
Cluster_1,Top_3,CCCCCCC\C=C\C=O,5.37772656564769
Cluster_1,Top_4,CCCCCCC\C=C/C=O,5.408277552480929
Cluster_2,Centroid,CCCC(=O)O,9.66138586205208
Cluster_2,Top_1,CCOC(C)=O,9.745895985406818
Cluster_2,Top_2,CCC(C)C(=O)O,10.06390650596364
Cluster_2,Top_3,CC(C)C(O)=O,10.079354333506858
Cluster_2,Top_4,CCC(=O)O,10.163045918997033
Cluster_3,Centroid,CCCCCC(=O)OCC,7.997887006354027
Cluster_3,Top_1,CCCCC(=O)OCC,8.476042149146316
Cluster_3,Top_2,CCCCCOC(=O)CC,8.81148088842448
Cluster_3,Top_3,CCCCCCOC(=O)C,9.333189550573193
Cluster_3,Top_4,CCCCCCCC(=O)OCC,10.374838427061178
Cluster_4,Centroid,CCC(=O)C(C)S,9.266346908264396
Cluster_4,Top_1,CCC(S)C(C)=O,9.7567620343183
Cluster_4,Top_2,CCC(C)C=O,11.34870985430261
Cluster_4,Top_3,CC[C@@H](C)C(=O)CC,11.579133681884768
Cluster_4,Top_4, CCCC(S)CCO,12.15894801518594
Cluster_5,Centroid,CCCSSCCC,11.767759500500587
Cluster_5,Top_1,CCCSSSC,12.810575793677494
Cluster_5,Top_2,CSSSC,12.981849493054556
Cluster_5,Top_3,CSCSC,15.891525624413111
Cluster_5,Top_4,CSSC,16.107273572081933
Cluster_6,Centroid,CCCCCO,5.695135276367673
Cluster_6,Top_1,CCCCCCO,6.109969416622584
Cluster_6,Top_2,CCCCO,6.3127466536151955
Cluster_6,Top_3,CC\C=C/CCO,8.004660659058738
Cluster_6,Top_4,CCCCCCCO,8.605929698628698
Cluster_7,Centroid,CC(C)=CCC\C(C)=C\CO,6.93569009757999
Cluster_7,Top_1,CC(=CCCC(=CCO)C)C,7.058058644121388
Cluster_7,Top_2,CC(C)=CCCC(=C)C=C,10.219227092250984
Cluster_7,Top_3,CC(C)=CCCC(C)(O)C=C,13.490591869825145
